short_name,character,unicode
layout-sidebar-left-dock,,EC4A
layout-panel,,EBF2
layout-panel-right,,EBF1
layout-panel-off,,EC01
layout-panel-left,,EBEE
layout-panel-justify,,EBF0
layout-panel-dock,,EC49
layout-panel-center,,EBEF
layout-menubar,,EBF6
layout-centered,,EBF7
layout-activitybar-right,,EBED
layout-activitybar-left,,EBEC
layers,,EBD2
layers-dot,,EBD3
layers-active,,EBD4
law,,EB12
keyboard-tab,,EC3C
keyboard-tab-below,,EC45
keyboard-tab-above,,EC44
key,,EB11
kebab-vertical,,EB10
jersey,,EB0E
italic,,EB0D
issues,,EB0C
issue-reopened,,EB0B
issue-draft,,EBD9
inspect,,EBD1
insert,,EC11
info,,EA74
index-zero,,EC66
indent,,EBF9
inbox,,EB09
important,,EC9B
important-compact,,EC9C
hubot,,EB08
horizontal-rule,,EB07
home,,EB06
history,,EA82
heart,,EB05
heart-filled,,EC04
group-by-ref-type,,EB97
gripper,,EB04
graph,,EB03
graph-scatter,,EBE3
graph-line,,EBE2
graph-left,,EBAD
grabber,,EB02
go-to-search,,EC32
go-to-file,,EA94
go-to-editing-session,,EC35
globe,,EB01
github,,EA84
github-project,,EC2F
github-inverted,,EBA1
github-alt,,EB00
github-action,,EAFF
git-stash,,EC26
git-stash-pop,,EC28
git-stash-apply,,EC27
git-pull-request,,EA64
git-pull-request-new-changes,,EC0C
git-pull-request-go-to-changes,,EC0B
git-pull-request-error,,ECC6
git-pull-request-draft,,EBDB
git-pull-request-done,,EC46
git-pull-request-create,,EBBC
git-pull-request-comment,,ECC5
git-pull-request-closed,,EBDA
git-merge,,EAFE
git-fetch,,ECB2
git-compare,,EAFD
git-commit,,EAFC
git-branch-staged-changes,,EC6D
git-branch-conflicts,,EC6E
git-branch-compact,,EC8E
git-branch-changes,,EC6C
gist,,EAFB
gist-secret,,EAFA
gift,,EAF9
gear,,EAF8
gear-compact,,EC8D
game,,EC17
forward,,EC73
folder,,EA83
folder-opened,,EAF7
folder-opened-compact,,EC8B
folder-library,,EBDF
folder-compact,,EC8C
folder-active,,EAF6
fold,,EAF5
fold-up,,EAF4
fold-down,,EAF3
flame,,EAF2
flag,,EC3F
filter,,EAF1
filter-filled,,EBCE
files,,EAF0
file-zip,,EAEF
file-text,,EC5E
file-symlink-file,,EAEE
file-symlink-directory,,EAED
file-submodule,,EAEC
file-pdf,,EAEB
file-media,,EAEA
file-media-compact,,ECB1
file-code,,EAE9
file-binary,,EAE8
feedback,,EB96
eye,,EA70
eye-closed,,EAE7
extensions,,EAE6
extensions-large,,EC48
export,,EBAC
expand-all,,EB95
exclude,,EAE5
error,,EA87
error-small,,EBFB
error-compact,,EC98
eraser,,EC5D
empty-window,,EAE4
ellipsis,,EA7C
editor-layout,,EAE3
edit,,EA73
edit-sparkle,,EC51
edit-session,,EC36
edit-compact,,ECB0
edit-code,,EC68
